Date,Odometer,FuelConsumed,Cost,FuelEconomy,IsFillToFull,MissedFuelUp,Notes,Tags
08/25/2017,30362,13.79,28.95,,TRUE,FALSE,Test Note,test1 test2
09/05/2017,30788,13.47,33.66,,TRUE,FALSE,Test Note,test1 test2
09/22/2017,31209,14.24,32.17,,TRUE,FALSE,Test Note,test1 test2
10/12/2017,31616,14.16,31.7,,TRUE,FALSE,Test Note,test1 test2
10/29/2017,32066,15.55,32.64,,TRUE,FALSE,Test Note,test1 test2
11/11/2017,32528,15.54,35.1,,TRUE,FALSE,Test Note,test1 test2
11/25/2017,32939,13.83,29.03,,TRUE,FALSE,Test Note,test1 test2
12/14/2017,33342,15.14,31.78,,TRUE,FALSE,Test Note,test1 test2
01/09/2018,33785,16.19,35.6,,TRUE,FALSE,Test Note,test1 test2
01/25/2018,34269,15.9,36.36,,TRUE,FALSE,Test Note,test1 test2
02/20/2018,34686,15.59,35.06,,TRUE,FALSE,Test Note,test1 test2
03/13/2018,35119,15.51,34.11,,TRUE,FALSE,Test Note,test1 test2
04/08/2018,35508,14.15,33.66,,TRUE,FALSE,Test Note,test1 test2
04/22/2018,35940,13.68,32.54,,TRUE,FALSE,Test Note,test1 test2
05/13/2018,36400,15.23,36.99,,TRUE,FALSE,Test Note,test1 test2
06/20/2018,36839,15.78,38.8,,TRUE,FALSE,Test Note,test1 test2
07/17/2018,37279,15.13,38.42,,TRUE,FALSE,Test Note,test1 test2
08/07/2018,37689,14.85,38,,TRUE,FALSE,Test Note,test1 test2
08/19/2018,38161,13.92,32.28,,TRUE,FALSE,Test Note,test1 test2
09/11/2018,38552,14.02,36.44,,TRUE,FALSE,Test Note,test1 test2
10/06/2018,38971,15.499,38.27,,TRUE,FALSE,Test Note,test1 test2
10/28/2018,39334,12.718,29.24,,TRUE,FALSE,Test Note,test1 test2
11/18/2018,39778,15.769,33.73,,TRUE,FALSE,Test Note,test1 test2
12/06/2018,40154,12.856,25.7,,TRUE,FALSE,Test Note,test1 test2
12/30/2018,40616,16.398,29.5,,TRUE,FALSE,Test Note,test1 test2
01/05/2019,41191,16.513,27.4,,TRUE,FALSE,Test Note,test1 test2
01/31/2019,41602,16.388,32.1,,TRUE,FALSE,Test Note,test1 test2
02/27/2019,42073,16.596,34.5,,TRUE,FALSE,Test Note,test1 test2
03/16/2019,42459,13.729,29.5,,TRUE,FALSE,Test Note,test1 test2
04/10/2019,42945,16.358,39.24,,TRUE,FALSE,Test Note,test1 test2
05/01/2019,43416,16.123,40.61,,TRUE,FALSE,Test Note,test1 test2
05/13/2019,43663,7.896,19.34,,TRUE,FALSE,Test Note,test1 test2
06/24/2019,44097,16.508,37.29,,TRUE,FALSE,Test Note,test1 test2
07/20/2019,44589,16.664,39.98,,TRUE,FALSE,Test Note,test1 test2
08/11/2019,45038,16.464,33.9,,TRUE,FALSE,Test Note,test1 test2
09/09/2019,45451,15.43,38.71,,TRUE,FALSE,Test Note,test1 test2
10/06/2019,45911,15.538,31.99,,TRUE,FALSE,Test Note,test1 test2
10/26/2019,46282,13.627,31.19,,TRUE,FALSE,Test Note,test1 test2
11/08/2019,46742,14.706,33.22,,TRUE,FALSE,Test Note,test1 test2
11/29/2019,47175,15.576,33.01,,TRUE,FALSE,Test Note,test1 test2
12/09/2019,47620,15.303,34.11,,TRUE,FALSE,Test Note,test1 test2
12/29/2019,47942,11.729,24.5,,TRUE,FALSE,Test Note,test1 test2
12/30/2019,48522,16.044,37.85,,TRUE,FALSE,Test Note,test1 test2
01/02/2020,49078,15.445,39.52,,TRUE,FALSE,Test Note,test1 test2
01/21/2020,49490,14.033,30.72,,TRUE,FALSE,Test Note,test1 test2
02/10/2020,49924,15.94,31.86,,TRUE,FALSE,Test Note,test1 test2
03/12/2020,50364,16.474,32.93,,TRUE,FALSE,Test Note,test1 test2
04/24/2020,50781,16.408,25.42,,TRUE,FALSE,Test Note,test1 test2
06/08/2020,51189,16.059,23.43,,TRUE,FALSE,Test Note,test1 test2
07/15/2020,51606,16.361,31.07,,TRUE,FALSE,Test Note,test1 test2
08/07/2020,51866,9.705,18.43,,TRUE,FALSE,Test Note,test1 test2
08/12/2020,52441,18.2,34.56,,TRUE,FALSE,Test Note,test1 test2
09/26/2020,52853,14.508,24.21,,TRUE,FALSE,Test Note,test1 test2
10/29/2020,53278,16.155,31.65,,TRUE,FALSE,Test Note,test1 test2
11/23/2020,53761,16.647,31.28,,TRUE,FALSE,Test Note,test1 test2
12/17/2020,54192,15.927,31.04,,TRUE,FALSE,Test Note,test1 test2
01/15/2021,54660,16.81,36.97,,TRUE,FALSE,Test Note,test1 test2
02/11/2021,55067,16.209,36.13,,TRUE,FALSE,Test Note,test1 test2
03/08/2021,55461,14.459,35.84,,TRUE,FALSE,Test Note,test1 test2
04/02/2021,55879,16.392,40.64,,TRUE,FALSE,Test Note,test1 test2
04/20/2021,56379,15.974,40.72,,TRUE,FALSE,Test Note,test1 test2
05/09/2021,56863,16,39.34,,TRUE,FALSE,Test Note,test1 test2
06/05/2021,57280,14.036,36.48,,TRUE,FALSE,Test Note,test1 test2
07/02/2021,57600,12.92,36.03,,TRUE,FALSE,Test Note,test1 test2
07/16/2021,58196,17.078,51.22,,TRUE,FALSE,Test Note,test1 test2
08/03/2021,58463,8.871,23.68,,TRUE,FALSE,Test Note,test1 test2
08/15/2021,58930,14.564,38.87,,TRUE,FALSE,Test Note,test1 test2
09/07/2021,59379,16.719,47.8,,TRUE,FALSE,Test Note,test1 test2
09/30/2021,59860,16.99,49.25,,TRUE,FALSE,Test Note,test1 test2
10/20/2021,60369,17.417,53.98,,TRUE,FALSE,Test Note,test1 test2
11/13/2021,60816,16.359,48.57,,TRUE,FALSE,Test Note,test1 test2
12/08/2021,61240,17.454,49.03,,TRUE,FALSE,Test Note,test1 test2
12/26/2021,61715,16.409,45.6,,TRUE,FALSE,Test Note,test1 test2
01/12/2022,62085,13.986,40.69,,TRUE,FALSE,Test Note,test1 test2
02/02/2022,62539,17.359,55.53,,TRUE,FALSE,Test Note,test1 test2
02/19/2022,62880,13.2,40.11,,TRUE,FALSE,Test Note,test1 test2
03/08/2022,63252,14.269,57.06,,TRUE,FALSE,Test Note,test1 test2
03/23/2022,63688,16.097,59.54,,TRUE,FALSE,Test Note,test1 test2
04/12/2022,64141,16.708,57.29,,TRUE,FALSE,Test Note,test1 test2
05/01/2022,64588,15.735,56.63,,TRUE,FALSE,Test Note,test1 test2
05/21/2022,65064,17.379,72.63,,TRUE,FALSE,Test Note,test1 test2
06/08/2022,65443,12.908,57.69,,TRUE,FALSE,Test Note,test1 test2
06/28/2022,65844,14.559,58.37,,TRUE,FALSE,Test Note,test1 test2
07/16/2022,66117,10.109,38.91,,TRUE,FALSE,Test Note,test1 test2
07/22/2022,66584,15.259,64.07,,TRUE,FALSE,Test Note,test1 test2
08/03/2022,67021,15.634,57.2,,TRUE,FALSE,Test Note,test1 test2
08/25/2022,67488,17.153,57.27,,TRUE,FALSE,Test Note,test1 test2
09/19/2022,67889,15.205,48.79,,TRUE,FALSE,Test Note,test1 test2
10/05/2022,68406,15.998,52.62,,TRUE,FALSE,Test Note,test1 test2
10/28/2022,68854,16.995,52.67,,TRUE,FALSE,Test Note,test1 test2
11/18/2022,69272,15.38,46.12,,TRUE,FALSE,Test Note,test1 test2
12/15/2022,69695,17.001,45.21,,TRUE,FALSE,Test Note,test1 test2
12/30/2022,69938,8.961,25.98,,TRUE,FALSE,Test Note,test1 test2
01/06/2023,70462,16.297,48.55,,TRUE,FALSE,Test Note,test1 test2
01/27/2023,70818,13.638,43.63,,TRUE,FALSE,Test Note,test1 test2
02/17/2023,71258,16.843,49,,TRUE,FALSE,Test Note,test1 test2
03/08/2023,71683,15.7,45.99,,TRUE,FALSE,Test Note,test1 test2
03/31/2023,72101,16.231,48.03,,TRUE,FALSE,Test Note,test1 test2
04/26/2023,72528,16.532,52.89,,TRUE,FALSE,Test Note,test1 test2
05/17/2023,72956,17.104,54.03,,TRUE,FALSE,Test Note,test1 test2
06/20/2023,73433,16.446,50.97,,TRUE,FALSE,Test Note,test1 test2
07/03/2023,73929,16.524,47.24,,TRUE,FALSE,Test Note,test1 test2
08/05/2023,74385,16.372,53.36,,TRUE,FALSE,Test Note,test1 test2
08/26/2023,74787,15.639,49.09,,TRUE,FALSE,Test Note,test1 test2
09/15/2023,75215,16.449,54.59,,TRUE,FALSE,Test Note,test1 test2
10/03/2023,75655,16.351,51.16,,TRUE,FALSE,Test Note,test1 test2
10/20/2023,76060,15.121,44.59,,TRUE,FALSE,Test Note,test1 test2
11/05/2023,76474,14.913,43.08,,TRUE,FALSE,Test Note,test1 test2
11/21/2023,76944,16.312,47.13,,TRUE,FALSE,Test Note,test1 test2
12/08/2023,77377,16.299,43.34,,TRUE,FALSE,Test Note,test1 test2
12/24/2023,77782,15.49,44.91,,TRUE,FALSE,Test Note,test1 test2
12/24/2023,77782,15.49,44.91,,TRUE,FALSE,Test Note,test1 test2
01/06/2024,78315,16.35,42.17,,TRUE,FALSE,Test Note,test1 test2
01/23/2024,78737,16.867,47.89,,TRUE,FALSE,Test Note,test1 test2
02/13/2024,79164,16.14,50.02,,TRUE,FALSE,Test Note,test1 test2
03/07/2024,79565,15.533,45.03,,TRUE,FALSE,Test Note,test1 test2
03/22/2024,79918,15.533,47.2,,TRUE,FALSE,Test Note,test1 test2
04/15/2024,80396,15.637,51.27,,TRUE,FALSE,Test Note,test1 test2
05/03/2024,80807,16.289,52.11,,TRUE,FALSE,Test Note,test1 test2
05/22/2024,81243,16.598,52.27,,TRUE,FALSE,Test Note,test1 test2
06/08/2024,81674,15.201,44.07,,TRUE,FALSE,Test Note,test1 test2
07/05/2024,82128,16.804,49.72,,TRUE,FALSE,Test Note,test1 test2
07/26/2024,82584,15.776,46.68,,TRUE,FALSE,Test Note,test1 test2
08/16/2024,83075,17.423,50.51,,TRUE,FALSE,Test Note,test1 test2
08/31/2024,83609,16.505,44.22,,TRUE,FALSE,Test Note,test1 test2
09/10/2024,84135,17.13,48.97,,TRUE,FALSE,Test Note,test1 test2
09/25/2024,84608,15.657,45.23,,TRUE,FALSE,Test Note,test1 test2
10/23/2024,85032,16.25,46.78,,TRUE,FALSE,Test Note,test1 test2
10/27/2024,85224,7.244,18.83,,TRUE,FALSE,Test Note,test1 test2
11/04/2024,85669,13.851,39.32,,TRUE,FALSE,Test Note,test1 test2
11/22/2024,86079,15.673,45.44,,TRUE,FALSE,Test Note,test1 test2
12/11/2024,86493,16.709,45.1,,TRUE,FALSE,Test Note,test1 test2
01/01/2025,86883,14.92,38.03,,TRUE,FALSE,Test Note,test1 test2
01/09/2025,87198,10.535,29.49,,TRUE,FALSE,Test Note,test1 test2
01/25/2025,87547,13.182,38.87,,TRUE,FALSE,Test Note,test1 test2
02/11/2025,88016,16.292,48.86,,TRUE,FALSE,Test Note,test1 test2
03/01/2025,88498,17.445,43.6,,TRUE,FALSE,Test Note,test1 test2
03/16/2025,88863,13.539,36.54,,TRUE,FALSE,Test Note,test1 test2
04/10/2025,89312,15.229,44.15,,TRUE,FALSE,Test Note,test1 test2
04/26/2025,89726,15.354,37.6,,TRUE,FALSE,Test Note,test1 test2
05/16/2025,90144,15.568,43.42,,TRUE,FALSE,Test Note,test1 test2
06/06/2025,90630,16.936,47.4,,TRUE,FALSE,Test Note,test1 test2
06/23/2025,90884,9.363,28.08,,TRUE,FALSE,Test Note,test1 test2
06/28/2025,91307,15.12,39.75,,TRUE,FALSE,Test Note,test1 test2
07/19/2025,91786,17.325,44.85,,TRUE,FALSE,Test Note,test1 test2
